,ar,be,el,en,in,ja,ru,th,tr,uk,zh
ar,0.0,0.0,0.12,0.12,0.0,0.24,0.0,0.04,0.16,0.08,0.24
be,0.0,0.0,0.2,0.11428571428571428,0.22857142857142856,0.05714285714285714,0.02857142857142857,0.0,0.05714285714285714,0.22857142857142856,0.08571428571428572
el,0.03125,0.03125,0.21875,0.0625,0.03125,0.09375,0.03125,0.0625,0.09375,0.1875,0.15625
en,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.08333333333333333,0.125,0.16666666666666666,0.0,0.0,0.125,0.16666666666666666,0.16666666666666666
in,0.0,0.0,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.0,0.0,0.07142857142857142,0.21428571428571427,0.0,0.14285714285714285
ja,0.0,0.0,0.22580645161290322,0.0967741935483871,0.0,0.1935483870967742,0.0,0.06451612903225806,0.1935483870967742,0.06451612903225806,0.16129032258064516
ru,0.0,0.030303030303030304,0.15151515151515152,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.030303030303030304,0.09090909090909091,0.09090909090909091,0.06060606060606061,0.18181818181818182
th,0.0,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.18518518518518517,0.037037037037037035,0.037037037037037035,0.2222222222222222,0.07407407407407407,0.1111111111111111
tr,0.07407407407407407,0.0,0.037037037037037035,0.18518518518518517,0.037037037037037035,0.1111111111111111,0.037037037037037035,0.037037037037037035,0.2222222222222222,0.18518518518518517,0.07407407407407407
uk,0.045454545454545456,0.0,0.13636363636363635,0.09090909090909091,0.13636363636363635,0.13636363636363635,0.0,0.0,0.09090909090909091,0.3181818181818182,0.045454545454545456
zh,0.03333333333333333,0.03333333333333333,0.16666666666666666,0.03333333333333333,0.03333333333333333,0.1,0.0,0.0,0.23333333333333334,0.16666666666666666,0.2
